Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating,Role
autimatic,Timothy Ta,Evil Geniuses,26 years,23778,0.445,21512,1.11,79.4,4.0,1228,32115,0.74,0.13,0.67,0.1,0.1,1.07,AWPer
EspiranTo,Rokas Milasauskas,Budapest Five,21 years,17165,0.6,15815,1.09,77.5,3.2,880,23040,0.75,0.11,0.69,0.1,0.1,1.11,AWPer
YEKINDAR,Mareks Gaļinskis,Liquid,23 years,23819,0.591,22304,1.07,82.7,4.0,1199,31969,0.75,0.13,0.7,0.09,0.09,1.14,AWPer
anarkez,Guy Trachtman,ECLOT,23 years,15389,0.307,13832,1.11,73.1,2.3,793,21380,0.72,0.09,0.65,0.09,0.08,1.1,Entry Fragger
shox,Richard Papillon,Nakama,30 years,39295,0.488,35559,1.11,75.3,3.0,2053,53896,0.73,0.12,0.66,0.08,0.08,1.07,AWPer
hallzerk,Håkon Fjærli,Complexity,22 years,16549,0.34299999999999997,14974,1.11,73.4,3.2,852,23055,0.72,0.09,0.65,0.1,0.1,1.1,Entry Fragger
somebody,HaoWen Xu,,27 years,23795,0.457,21633,1.1,79.9,3.5,1257,32545,0.73,0.13,0.66,0.1,0.09,1.07,AWPer
CRUC1AL,Joey Steusel,Into the Breach,26 years,28961,0.29,26040,1.11,73.5,2.6,1533,40278,0.72,0.1,0.65,0.09,0.11,1.07,Entry Fragger
QKA,ZhiHai Fu,WDNMD,29 years,7690,0.40399999999999997,6988,1.1,75.8,1.6,402,10409,0.74,0.1,0.67,0.08,0.09,1.1,AWPer
chelo,Marcelo Cespedes,Imperial,24 years,17914,0.606,16360,1.09,78.1,3.6,960,24962,0.72,0.13,0.66,0.1,0.1,1.07,AWPer
FalleN,Gabriel Toledo,Imperial,31 years,29614,0.308,25738,1.15,71.7,3.5,1629,42726,0.69,0.11,0.6,0.08,0.08,1.07,Lurker
NikoM,Nicolas Miozzi,,25 years,10105,0.47100000000000003,9139,1.11,79.9,4.7,537,13864,0.73,0.14,0.66,0.1,0.11,1.07,Support
WorldEdit,Georgi Yaskin,,31 years,25244,0.281,22791,1.11,75.0,2.6,1330,34767,0.73,0.12,0.66,0.08,0.08,1.07,Entry Fragger
shroud,Mike Grzesiek,,28 years,12588,0.529,11277,1.12,76.1,3.9,676,17460,0.72,0.14,0.65,0.09,0.11,1.07,Support
Pimp,Jacob Winneche,,27 years,18116,0.466,16100,1.13,78.3,3.9,976,25052,0.72,0.14,0.64,0.1,0.11,1.07,Support
reiko,Kamil Cegiełko,HONORIS,23 years,10340,0.47700000000000004,9860,1.05,83.7,5.1,510,13695,0.76,0.14,0.72,0.11,0.13,1.12,Support
Lucaozy,Lucas Neves,Fluxo,21 years,10095,0.508,9002,1.12,76.6,3.2,523,14073,0.72,0.11,0.64,0.09,0.1,1.11,AWPer
dycha,Paweł Dycha,ENCE,25 years,17414,0.532,16037,1.09,81.1,4.8,894,23982,0.73,0.14,0.67,0.09,0.09,1.12,Support
DD,Hui Wu,,28 years,17450,0.419,15927,1.1,81.5,3.1,917,23728,0.74,0.16,0.67,0.11,0.1,1.06,Support
fame,Petr Bolyshev,Outsiders,19 years,11309,0.574,10269,1.1,77.4,3.5,587,15634,0.72,0.11,0.66,0.09,0.11,1.11,AWPer
snatchie,Michał Rudzki,Entropiq,25 years,31588,0.295,28999,1.09,72.7,1.6,1629,43656,0.72,0.09,0.66,0.08,0.09,1.06,Entry Fragger
shalfey,Aleksandr Marenov,forZe,20 years,10486,0.46299999999999997,9232,1.14,77.8,3.8,544,14712,0.71,0.12,0.63,0.08,0.09,1.12,AWPer
HObbit,Abay Khassenov,Cloud9,28 years,23546,0.465,21289,1.11,80.0,5.6,1233,32570,0.72,0.14,0.65,0.08,0.08,1.06,Support
CLASIA,Anthony Kearney,yur,19 years,7545,0.498,6877,1.1,79.7,4.7,397,10389,0.73,0.14,0.66,0.09,0.1,1.11,Support
s4ltovsk1yy,Kyrylo Lytvynov,IKLA,21 years,9232,0.40700000000000003,8150,1.13,71.1,2.9,485,13226,0.7,0.09,0.62,0.08,0.09,1.1,Entry Fragger
smike,Sergey Sklyarenko,schadE halt,24 years,9538,0.33,8937,1.07,75.3,1.3,496,12846,0.74,0.1,0.7,0.09,0.08,1.06,AWPer
ofnu,Chris Hanley,,29 years,15793,0.489,14413,1.1,79.7,5.2,852,21778,0.73,0.15,0.66,0.1,0.1,1.06,Support
acoR,Frederik Gyldstrand,GamerLegion,25 years,21100,0.376,18896,1.12,73.2,3.7,1140,29898,0.71,0.1,0.63,0.09,0.1,1.06,AWPer
boltz,Ricardo Prass,Imperial,25 years,24980,0.392,22338,1.12,81.6,8.9,1349,35243,0.71,0.17,0.63,0.08,0.09,1.06,In-Game Leader
AnJ,Allan Jensen,,28 years,7530,0.507,6767,1.11,77.2,3.8,403,10503,0.72,0.12,0.64,0.09,0.12,1.06,AWPer
slaxz-,Fritz Dietrich,ALTERNATE aTTaX,24 years,20416,0.293,18092,1.13,72.1,3.3,1078,29303,0.7,0.1,0.62,0.09,0.09,1.1,Entry Fragger
Ethan,Ethan Arnold,,22 years,18853,0.494,17365,1.09,81.4,4.3,986,25998,0.73,0.15,0.67,0.11,0.11,1.14,Support
NikkeZ,Nikhil Victor,,27 years,8060,0.465,7511,1.07,82.7,4.5,420,10817,0.75,0.15,0.69,0.09,0.1,1.06,Support
Rainwaker,Aleks Petrov,500,21 years,24562,0.41600000000000004,22033,1.11,77.8,4.5,1294,34943,0.7,0.13,0.63,0.08,0.1,1.11,AWPer
SHiPZ,Georgi Grigorov,500,22 years,36748,0.498,34243,1.07,79.5,3.8,1862,49733,0.74,0.13,0.69,0.1,0.1,1.11,AWPer
trk,Alencar Rossato,TeamOne,27 years,17844,0.486,16196,1.1,78.6,5.0,950,24822,0.72,0.14,0.65,0.12,0.12,1.13,Support
Happy,Vincent Schopenhauer,,31 years,28022,0.41200000000000003,25277,1.11,77.5,2.7,1464,37933,0.74,0.12,0.67,0.06,0.07,1.06,AWPer
roeJ,Fredrik Jørgensen,fnatic,29 years,19117,0.5489999999999999,17651,1.08,83.3,4.3,976,25759,0.74,0.15,0.69,0.11,0.11,1.15,Support
zhokiNg,WeiJie Zhong,Take me away,29 years,23839,0.509,22397,1.06,83.7,3.8,1240,31723,0.75,0.17,0.71,0.12,0.1,1.06,In-Game Leader
malbsMd,Mario Samayoa,TeamOne,20 years,12667,0.63,12079,1.05,80.5,5.3,661,16933,0.75,0.12,0.71,0.11,0.11,1.11,AWPer
Maka,Bryan Canda,HEET,25 years,23942,0.355,21580,1.11,74.6,4.6,1272,33821,0.71,0.11,0.64,0.09,0.09,1.1,AWPer
afro,Aurélien Drapier,LDLC,23 years,12967,0.33899999999999997,11724,1.11,72.7,5.1,691,18495,0.7,0.11,0.63,0.08,0.09,1.09,AWPer
Brollan,Ludvig Brolin,Ninjas in Pyjamas,20 years,20543,0.524,19044,1.08,78.9,4.9,1071,28421,0.72,0.13,0.67,0.09,0.1,1.11,AWPer
COLDYY1,Pavel Veklenko,,30 years,17902,0.551,16184,1.11,77.5,3.9,947,24917,0.72,0.13,0.65,0.09,0.11,1.06,AWPer
Valiance,Matthew Hartrick,,22 years,11998,0.517,10865,1.1,75.6,3.6,662,17113,0.7,0.13,0.63,0.1,0.11,1.1,AWPer
b4rtiN,Bruno Câmara,,21 years,10164,0.551,9216,1.1,74.7,3.6,547,14329,0.71,0.12,0.64,0.1,0.11,1.1,AWPer
