,Name,Teams,Maps,Rounds,K-D Diff,K/D,Rating (1.0),Age,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,DPR,KAST,Impact,ADR,KPR,Rating
247,SicK,"['Rogue', 'Misfits', 'TSM']",795,20701,+1040,1.07,1.05,24 years,15002,49.8%,13962,1.07,77.7,2.6,795,20701,0.72,0.13,0.67,0.10,0.12,0.67,71.9%,1.11,77.7,0.72,1.05
248,NEEX,"['Izako Boars', 'ESC']",429,11195,+574,1.08,1.05,26 years,8076,31.3%,7502,1.08,71.5,1.6,429,11195,0.72,0.09,0.67,0.08,0.10,0.67,68.2%,1.09,71.5,0.72,1.05
249,MarKE,"['Extra Salt', 'eUnited', 'Swole Patrol']",953,24531,+1434,1.09,1.05,24 years,17299,53.2%,15865,1.09,79.2,5.2,953,24531,0.71,0.15,0.65,0.10,0.12,0.65,72.9%,1.10,79.2,0.71,1.12
250,sdy,['Spirit'],1223,32180,+2107,1.10,1.05,25 years,22327,50.1%,20220,1.10,76.6,4.1,1223,32180,0.69,0.13,0.63,0.10,0.11,0.63,72.5%,1.03,76.6,0.69,1.10
251,juanflatroo,"['Bad News Eagles', 'BLINK', 'Secret']",680,18209,+518,1.04,1.05,25 years,13687,56.7%,13169,1.04,82.7,5.4,680,18209,0.75,0.13,0.72,0.09,0.10,0.72,68.6%,1.16,82.7,0.75,1.10
252,loWel,"['Movistar Riders', 'PENTA', 'MOUZ']",1008,26413,+1739,1.10,1.05,26 years,18549,47.5%,16810,1.10,75.8,4.5,1008,26413,0.70,0.13,0.64,0.09,0.11,0.64,73.1%,0.97,75.8,0.70,1.05
253,raafa,"['W7M', 'Keyd']",640,16832,+1092,1.10,1.05,28 years,11650,27.4%,10558,1.10,72.4,3.7,640,16832,0.69,0.11,0.63,0.07,0.08,0.63,69.1%,1.08,72.4,0.69,1.07
254,Marcelious,"['Apeks', '777']",515,13889,+667,1.07,1.05,23 years,9864,31.4%,9197,1.07,74.0,3.2,515,13889,0.71,0.10,0.66,0.10,0.11,0.66,69.5%,1.10,74.0,0.71,1.07
255,Zellsis,"['Swole Patrol', 'Lazarus']",626,16210,+803,1.07,1.05,24 years,11657,46.4%,10854,1.07,79.2,4.8,626,16210,0.72,0.15,0.67,0.10,0.11,0.67,71.5%,1.11,79.2,0.72,1.11
256,Bwills,"['Nouns', 'Triumph', 'Gaimin Gladiators']",956,24928,+1268,1.08,1.05,21 years,17643,50.6%,16375,1.08,78.1,6.3,956,24928,0.71,0.15,0.66,0.11,0.14,0.66,72.7%,1.05,78.1,0.71,1.10
257,nexa,"['G2', 'Valiance', 'Imperial', 'OG']",1340,35515,+2088,1.09,1.05,25 years,24649,51.0%,22561,1.09,75.9,4.5,1340,35515,0.69,0.13,0.64,0.10,0.11,0.64,73.0%,1.01,75.9,0.69,1.05
258,rommi,"['Spirit Academy', 'HOLLYWOOD', 'PLINK', '1337']",516,13467,+604,1.06,1.05,29 years,9899,50.8%,9295,1.06,81.1,3.7,516,13467,0.74,0.14,0.69,0.08,0.10,0.69,69.7%,1.05,81.1,0.74,1.05
259,latto,"['00NATION', 'GODSENT', 'RED Canids']",445,11812,+691,1.09,1.05,20 years,8160,46.4%,7469,1.09,77.1,6.1,445,11812,0.69,0.14,0.63,0.09,0.11,0.63,72.7%,1.05,77.1,0.69,1.10
