Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating
xand,Alexandre Zizi,N/A,27 years,9681,50.2%,8806,1.1,80.4,4.7,515,13210,0.73,0.14,0.67,0.1,0.1,1.07
InfrequeNt,Jesse Barker,N/A,28 years,8969,33.7%,8038,1.12,76.3,4.2,480,12386,0.72,0.12,0.65,0.09,0.1,1.07
autimatic,Timothy Ta,Evil Geniuses,26 years,23778,44.5%,21512,1.11,79.4,4.0,1228,32115,0.74,0.13,0.67,0.1,0.1,1.07
EspiranTo,Rokas Milasauskas,Budapest Five,21 years,17165,60.0%,15815,1.09,77.5,3.2,880,23040,0.75,0.11,0.69,0.1,0.1,1.11
YEKINDAR,Mareks Gaļinskis,Liquid,23 years,23819,59.1%,22304,1.07,82.7,4.0,1199,31969,0.75,0.13,0.7,0.09,0.09,1.14
anarkez,Guy Trachtman,ECLOT,23 years,15389,30.7%,13832,1.11,73.1,2.3,793,21380,0.72,0.09,0.65,0.09,0.08,1.1
shox,Richard Papillon,Nakama,30 years,39295,48.8%,35559,1.11,75.3,3.0,2053,53896,0.73,0.12,0.66,0.08,0.08,1.07
hallzerk,Håkon Fjærli,Complexity,22 years,16549,34.3%,14974,1.11,73.4,3.2,852,23055,0.72,0.09,0.65,0.1,0.1,1.1
somebody,HaoWen Xu,N/A,27 years,23795,45.7%,21633,1.1,79.9,3.5,1257,32545,0.73,0.13,0.66,0.1,0.09,1.07
CRUC1AL,Joey Steusel,Into the Breach,26 years,28961,29.0%,26040,1.11,73.5,2.6,1533,40278,0.72,0.1,0.65,0.09,0.11,1.07
QKA,ZhiHai Fu,WDNMD,29 years,7690,40.4%,6988,1.1,75.8,1.6,402,10409,0.74,0.1,0.67,0.08,0.09,1.1
chelo,Marcelo Cespedes,Imperial,24 years,17914,60.6%,16360,1.09,78.1,3.6,960,24962,0.72,0.13,0.66,0.1,0.1,1.07
FalleN,Gabriel Toledo,Imperial,31 years,29614,30.8%,25738,1.15,71.7,3.5,1629,42726,0.69,0.11,0.6,0.08,0.08,1.07
NikoM,Nicolas Miozzi,N/A,25 years,10105,47.1%,9139,1.11,79.9,4.7,537,13864,0.73,0.14,0.66,0.1,0.11,1.07
WorldEdit,Georgi Yaskin,N/A,31 years,25244,28.1%,22791,1.11,75.0,2.6,1330,34767,0.73,0.12,0.66,0.08,0.08,1.07
shroud,Mike Grzesiek,N/A,28 years,12588,52.9%,11277,1.12,76.1,3.9,676,17460,0.72,0.14,0.65,0.09,0.11,1.07
Pimp,Jacob Winneche,N/A,27 years,18116,46.6%,16100,1.13,78.3,3.9,976,25052,0.72,0.14,0.64,0.1,0.11,1.07
reiko,Kamil Cegiełko,HONORIS,23 years,10340,47.7%,9860,1.05,83.7,5.1,510,13695,0.76,0.14,0.72,0.11,0.13,1.12
